date,fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
1970-01-01 00:00:00.000000000,2024-12-31,USD,453475000000,91990000000,23029000000,23029000000,23524000000,43681000000,361485000000,301441000000,None,19967000000,19967000000,None,None,34353000000,None,25122000000,None,182869000000,70307000000,36145000000,None,None,4955000000,112562000000,3951000000,32804000000,4955000000,None,41710000000,65352000000,25719000000,263705000000,None,470903000000,46238000000,4298000000
1970-01-01 00:00:00.000000001,2023-12-31,USD,376317000000,96609000000,31568000000,31568000000,25120000000,38015000000,279708000000,221789000000,None,None,None,None,None,34257000000,-29000000,1935000000,None,163779000000,65316000000,31249000000,None,None,4090000000,98463000000,3838000000,33645000000,4090000000,None,41573000000,26883000000,24228000000,204802000000,None,453927000000,17781000000,4052000000
1970-01-01 00:00:00.000000002,2022-12-31,USD,369067000000,97631000000,29640000000,29640000000,24435000000,41749000000,271436000000,204692000000,None,16951000000,16951000000,None,None,49793000000,-14993000000,1807000000,None,166594000000,69045000000,33169000000,None,None,634000000,97549000000,3299000000,40559000000,634000000,None,41193000000,30028000000,34116000000,195049000000,None,432860000000,15752000000,4205000000
1970-01-01 00:00:00.000000003,2021-12-31,USD,338923000000,59154000000,6802000000,6802000000,18780000000,32383000000,279769000000,216552000000,None,18022000000,18022000000,None,None,45195000000,None,1189000000,None,163240000000,56643000000,26623000000,None,None,4276000000,106597000000,1761000000,41667000000,4276000000,None,47704000000,20247000000,43004000000,168577000000,-225464000000,392059000000,15746000000,4275000000
1970-01-01 00:00:00.000000004,2020-12-31,USD,332750000000,44893000000,4364000000,4364000000,18850000000,20581000000,287857000000,227553000000,None,16789000000,16789000000,None,None,43515000000,43515000000,1098000000,None,168620000000,56363000000,17499000000,None,None,20458000000,112257000000,1680000000,45502000000,20458000000,None,67640000000,14314000000,46910000000,157150000000,-225776000000,383943000000,15688000000,4271000000
1970-01-01 00:00:00.000000005,2019-12-31,USD,362597000000,50052000000,3089000000,3089000000,18528000000,26966000000,312545000000,253018000000,None,16363000000,16363000000,None,None,43164000000,None,1469000000,None,163659000000,63989000000,24694000000,None,None,20578000000,99670000000,1670000000,24672000000,20578000000,None,46920000000,13836000000,47708000000,191650000000,-225835000000,421341000000,15637000000,4270000000
1970-01-01 00:00:00.000000006,2018-12-31,USD,346196000000,47973000000,3042000000,3042000000,18958000000,24701000000,298223000000,247101000000,None,10332000000,10332000000,None,None,40790000000,None,1272000000,None,147668000000,57138000000,21063000000,None,None,17258000000,90530000000,1303000000,19235000000,17258000000,None,37796000000,12925000000,18094000000,191794000000,-225553000000,421653000000,15258000000,4237000000
1970-01-01 00:00:00.000000007,2017-12-31,USD,348691000000,47134000000,3177000000,3177000000,16992000000,25597000000,301557000000,252630000000,None,9767000000,9767000000,0,None,39160000000,0,1368000000,None,154191000000,57771000000,21701000000,None,None,17930000000,96420000000,1327000000,23079000000,17930000000,None,42336000000,11784000000,19215000000,187688000000,-225246000000,414540000000,14656000000,4256000000
1970-01-01 00:00:00.000000008,2016-12-31,USD,330314000000,41416000000,3657000000,3657000000,15080000000,21394000000,288898000000,244224000000,None,9572000000,9572000000,0,None,35102000000,0,1285000000,None,156484000000,47638000000,17801000000,None,None,13830000000,108846000000,1225000000,27707000000,13830000000,None,42762000000,10739000000,20069000000,167325000000,-230424000000,407831000000,12157000000,4170212766
1970-01-01 00:00:00.000000009,2015-12-31,USD,336758000000,42623000000,3705000000,3705000000,16245000000,19875000000,294135000000,251605000000,None,8285000000,8285000000,0,None,34245000000,0,2798000000,None,159948000000,53976000000,18074000000,None,None,18762000000,105972000000,None,18687000000,558000000,None,38687000000,11401000000,49229000000,170811000000,-229734000000,412444000000,11612000000,4194805195
1970-01-01 00:00:00.000000010,2014-12-31,USD,349493000000,52910000000,4616000000,4616000000,16678000000,28009000000,296583000000,252668000000,None,8676000000,8676000000,0,None,35239000000,42000000,3607000000,None,168429000000,64633000000,25286000000,None,None,17468000000,103796000000,None,11653000000,770000000,None,29121000000,13651000000,52913000000,174399000000,-225820000000,408384000000,10792000000,4278947368
1970-01-01 00:00:00.000000011,2013-12-31,USD,346808000000,59308000000,4644000000,4644000000,16135000000,33152000000,287500000000,243650000000,None,7522000000,7522000000,0,None,36328000000,269000000,5377000000,None,166313000000,71724000000,30920000000,None,None,15808000000,94589000000,None,6891000000,None,None,22699000000,13282000000,47168000000,174003000000,-212781000000,387432000000,10077000000,4420624152
1970-01-01 00:00:00.000000012,2012-12-31,USD,333795000000,64460000000,9582000000,9582000000,14542000000,34987000000,269335000000,226949000000,None,7668000000,7668000000,0,None,34718000000,341000000,5349000000,None,162135000000,64139000000,33789000000,None,None,3653000000,97996000000,None,7928000000,None,None,11581000000,16939000000,52498000000,165863000000,-197333000000,365727000000,9653000000,4628000000
1970-01-01 00:00:00.000000013,2011-12-31,USD,331052000000,72963000000,12664000000,12664000000,15024000000,38642000000,258089000000,214664000000,None,9092000000,9092000000,0,None,34333000000,404000000,6229000000,None,170308000000,77505000000,33969000000,None,None,7711000000,92803000000,None,9322000000,None,None,17033000000,15975000000,46863000000,154396000000,-176932000000,330939000000,9512000000,4875000000
1970-01-01 00:00:00.000000014,2010-12-31,USD,302510000000,58984000000,7825000000,7825000000,12976000000,32284000000,243526000000,199548000000,None,8640000000,8640000000,0,None,35338000000,2000000,5899000000,None,149831000000,62633000000,30780000000,None,None,2787000000,87198000000,None,12227000000,None,None,15014000000,12476000000,39821000000,146839000000,-156608000000,298899000000,9371000000,4897000000
1970-01-01 00:00:00.000000015,2009-12-31,USD,233323000000,55235000000,10693000000,10693000000,11553000000,27645000000,178088000000,139116000000,None,7307000000,7307000000,0,None,None,169000000,5175000000,None,117931000000,52061000000,24236000000,None,None,2476000000,65870000000,None,7129000000,None,None,9605000000,11118000000,None,110569000000,-166410000000,276937000000,5503000000,4844221106
1970-01-01 00:00:00.000000016,2008-12-31,USD,228052000000,72266000000,31437000000,31437000000,11646000000,24702000000,155786000000,121346000000,None,5884000000,5884000000,None,None,None,570000000,3911000000,None,110529000000,49100000000,21190000000,None,None,2400000000,61429000000,None,7025000000,None,None,9425000000,9587000000,None,112965000000,-148098000000,265680000000,5314000000,5203682394
1970-01-01 00:00:00.000000017,2007-12-31,USD,242082000000,85963000000,33981000000,33981000000,11089000000,36450000000,156119000000,120869000000,None,7056000000,7056000000,None,None,None,519000000,3924000000,None,116038000000,58312000000,29239000000,None,None,2383000000,57726000000,None,7183000000,None,None,9566000000,9551000000,None,121762000000,-113678000000,228518000000,4933000000,5578296703
1970-01-01 00:00:00.000000018,2006-12-31,USD,219015000000,75777000000,28244000000,28244000000,10714000000,28942000000,143238000000,113687000000,None,6314000000,6314000000,None,None,None,4604000000,3273000000,None,105171000000,48817000000,25084000000,None,None,1702000000,56354000000,None,6645000000,None,None,8347000000,13998000000,None,113844000000,-83387000000,195207000000,4786000000,5966767372
1970-01-01 00:00:00.000000019,2005-12-31,USD,208335000000,73342000000,28671000000,28671000000,9321000000,27484000000,134993000000,107010000000,None,7391000000,7391000000,None,None,None,4604000000,3262000000,None,93622000000,46307000000,31349000000,None,None,1771000000,47315000000,None,6220000000,None,None,7991000000,4771000000,None,111186000000,-55347000000,163335000000,5743000000,6327495622
